date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:11	51602/51602	---MCZ	200	added ('OK')	text/html	etag:cacheable:36a7f8c6b24c37bea6daad8c547edea3	https://duke-16.myshopify.com/collections/skateboards	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/collections/skateboards.html	(from https://duke-16.myshopify.com/)
15:48:13	27364/27364	---M--	200	added ('OK')	image/jpeg	etag:%22557ad1481a6d7f5b21f3c17dfb5aacfc%22	http://cdn.shopify.com/s/files/1/0238/8255/products/dukeboards-fourtrack_large.jpg?v=1371219574	C:/My%20Tichka%20Skateshop3/Skatshop3/cdn.shopify.com/s/files/1/0238/8255/products/dukeboards-fourtrack_large3767.jpg	(from https://duke-16.myshopify.com/)
15:48:14	57293/57293	---MCZ	200	added ('OK')	text/html	etag:cacheable:406414be37e7eed4d8c96b188a310d4c	https://duke-16.myshopify.com/collections/new-arrivals/products/arcade	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/collections/new-arrivals/products/arcade.html	(from https://duke-16.myshopify.com/)
15:48:14	27720/27720	---M--	200	added ('OK')	image/jpeg	etag:%22d1526f21445b432ad2f0f35da93fa8bb%22	http://cdn.shopify.com/s/files/1/0238/8255/products/dukeboards-arcade_large.jpg?v=1373295331	C:/My%20Tichka%20Skateshop3/Skatshop3/cdn.shopify.com/s/files/1/0238/8255/products/dukeboards-arcade_large4617.jpg	(from https://duke-16.myshopify.com/)
15:48:15	43/43	---M--	200	added ('OK')	image/gif	etag:%22325472601571f31e1bf00674c368d335%22	http://cdn.shopify.com/s/files/1/0238/8255/t/4/assets/blank.gif?14125368444965348588	C:/My%20Tichka%20Skateshop3/Skatshop3/cdn.shopify.com/s/files/1/0238/8255/t/4/assets/blankd1ce.gif	(from https://duke-16.myshopify.com/)
15:48:15	27693/27693	---MCZ	200	added ('OK')	text/html	etag:cacheable:ba1bc94fd6e42cc1ce9be6aace9120d4	https://duke-16.myshopify.com/products/arcade	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/products/arcade.html	(from https://duke-16.myshopify.com/)
15:48:16	56679/56679	---MCZ	200	added ('OK')	text/html	etag:cacheable:bcfdbf2d8a8d52e018d9f0b69f3f3ddd	https://duke-16.myshopify.com/collections/new-arrivals/products/eye-alchemy	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/collections/new-arrivals/products/eye-alchemy.html	(from https://duke-16.myshopify.com/)
15:48:18	26155/26155	---MCZ	200	added ('OK')	text/html	etag:cacheable:8b5b031073508d60b4f6261cfeb22c62	https://duke-16.myshopify.com/products/eye-alchemy	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/products/eye-alchemy.html	(from https://duke-16.myshopify.com/)
15:48:20	26886/26886	---M--	200	added ('OK')	image/jpeg	etag:%2250b65b82a870d7b95e1da2418ce516b0%22	http://cdn.shopify.com/s/files/1/0238/8255/products/dukeboards-eyealchemy_large.jpg?v=1371219345	C:/My%20Tichka%20Skateshop3/Skatshop3/cdn.shopify.com/s/files/1/0238/8255/products/dukeboards-eyealchemy_largea9cd.jpg	(from https://duke-16.myshopify.com/)
15:48:20	56314/56314	---MCZ	200	added ('OK')	text/html	etag:cacheable:19afaf11b3a05afc8fedd565c3f3876c	https://duke-16.myshopify.com/collections/new-arrivals/products/eye-eye	C:/My%20Tichka%20Skateshop3/Skatshop3/duke-16.myshopify.com/collections/new-arrivals/products/eye-eye.html	(from https://duke-16.myshopify.com/)
